Human Gene ID	Gene Name	Protein ID	Zebra Gene ID	Gene Name	Protein ID
ENSG00000138459	SLC35A5	ENSP00000417654	ENSDARG00000000001	slc35a5	ENSDARP00000000004
ENSG00000138449	SLC40A1	ENSP00000261024	ENSDARG00000000241	slc40a1	ENSDARP00000000250
ENSG00000046651	OFD1	ENSP00000344314	ENSDARG00000000529	ofd1	ENSDARP00000000952
ENSG00000105701	FKBP8	ENSP00000471700	ENSDARG00000001734	fkbp8	ENSDARP00000000956
ENSG00000115289	PCGF1	ENSP00000233630	ENSDARG00000001249	pcgf1	ENSDARP00000001039
ENSG00000128694	OSGEPL1	ENSP00000264151	ENSDARG00000000651	osgepl1	ENSDARP00000001156
ENSG00000151651	ADAM8	ENSP00000453302	ENSDARG00000001452	adam8a	ENSDARP00000001187
ENSG00000025772	TOMM34	ENSP00000361900	ENSDARG00000001557	tomm34	ENSDARP00000001240
ENSG00000064933	PMS1	ENSP00000406490	ENSDARG00000000476	pms1	ENSDARP00000001250
ENSG00000189134	NKAPL	ENSP00000345716	ENSDARG00000033450	nkap	ENSDARP00000001288
ENSG00000100473	COCH	ENSP00000216361	ENSDARG00000024032	coch	ENSDARP00000001291
ENSG00000092140	G2E3	ENSP00000451653	ENSDARG00000001313	g2e3	ENSDARP00000001315
ENSG00000112578	BYSL	ENSP00000230340	ENSDARG00000001057	bysl	ENSDARP00000001346
ENSG00000198546	ZNF511	ENSP00000351929	ENSDARG00000000760	znf511	ENSDARP00000001399
ENSG00000127884	ECHS1	ENSP00000357535	ENSDARG00000001578	echs1	ENSDARP00000001565
ENSG00000170627	GTSF1	ENSP00000446918	ENSDARG00000000887	zgc:56699	ENSDARP00000001807
ENSG00000152219	ARL14EP	ENSP00000282032	ENSDARG00000001210	arl14ep	ENSDARP00000002005
ENSG00000169435	RASSF6	ENSP00000340578	ENSDARG00000000804	rassf6	ENSDARP00000002041
ENSG00000107937	GTPBP4	ENSP00000354040	ENSDARG00000018961	gtpbp4	ENSDARP00000002061
ENSG00000137414	FAM8A1	ENSP00000259963	ENSDARG00000004308	fam8a1b	ENSDARP00000002079
ENSG00000158773	USF1	ENSP00000356999	ENSDARG00000041689	usf1	ENSDARP00000002107
ENSG00000146007	ZMAT2	ENSP00000274712	ENSDARG00000004956	zmat2	ENSDARP00000002108
ENSG00000168291	PDHB	ENSP00000307241	ENSDARG00000021346	pdhb	ENSDARP00000002122
ENSG00000164970	FAM219A	ENSP00000499069	ENSDARG00000016396	fam219aa	ENSDARP00000002156
ENSG00000081760	AACS	ENSP00000324842	ENSDARG00000012468	aacs	ENSDARP00000002180
ENSG00000167969	ECI1	ENSP00000301729	ENSDARG00000018002	eci1	ENSDARP00000002223
